cca_num,cca_name,Race,Units_per_Structure,Units,moe,High_Error,Geography,Percent
1,Rogers Park,All,"1, detached",1375,280.2927041505005,TRUE,Rogers Park,0.048132460531382364
1,Rogers Park,All,"1, attached",413,140.04999107461592,TRUE,Rogers Park,0.014457240872335212
1,Rogers Park,All,2,984,230.70760715676457,TRUE,Rogers Park,0.03444533902754927
1,Rogers Park,All,3 or 4,3340,612.8743753821007,FALSE,Rogers Park,0.11691812230895789
1,Rogers Park,All,5 to 9,6877,676.4709897697018,FALSE,Rogers Park,0.24073231350859384
1,Rogers Park,All,10 to 19,3761,478.6585421780332,FALSE,Rogers Park,0.13165540658802113
1,Rogers Park,All,20+,11718,882.2510980440886,FALSE,Rogers Park,0.41019358000490075
1,Rogers Park,All,Alternatives,99,126.55828696691498,TRUE,Rogers Park,0.0034655371582595304
1,Rogers Park,American Indian and Alaska Native Alone,"1, detached",0,48.041648597857254,TRUE,Rogers Park,0
1,Rogers Park,American Indian and Alaska Native Alone,"1, attached",32,58.240879114244144,TRUE,Rogers Park,0.1641025641025641
1,Rogers Park,American Indian and Alaska Native Alone,2,0,48.041648597857254,TRUE,Rogers Park,0
1,Rogers Park,American Indian and Alaska Native Alone,3 or 4,10,51.03920062069938,TRUE,Rogers Park,0.05128205128205128
1,Rogers Park,American Indian and Alaska Native Alone,5 to 9,26,62.00806399170998,TRUE,Rogers Park,0.13333333333333333
1,Rogers Park,American Indian and Alaska Native Alone,10 to 19,38,53.113086899558006,TRUE,Rogers Park,0.19487179487179487
1,Rogers Park,American Indian and Alaska Native Alone,20+,89,95.11571899533746,TRUE,Rogers Park,0.4564102564102564
1,Rogers Park,American Indian and Alaska Native Alone,Alternatives,0,67.94115100585212,TRUE,Rogers Park,0
1,Rogers Park,Asian Alone,"1, detached",57,60.67124524847005,TRUE,Rogers Park,0.05084745762711865
1,Rogers Park,Asian Alone,"1, attached",58,76.88953114696434,TRUE,Rogers Park,0.05173951828724353
1,Rogers Park,Asian Alone,2,56,67.39436178197698,TRUE,Rogers Park,0.049955396966993755
1,Rogers Park,Asian Alone,3 or 4,92,74.8799038460921,TRUE,Rogers Park,0.08206958073148975
1,Rogers Park,Asian Alone,5 to 9,144,93.85094565320053,TRUE,Rogers Park,0.12845673505798394
1,Rogers Park,Asian Alone,10 to 19,128,86.37129152675674,TRUE,Rogers Park,0.11418376449598573
1,Rogers Park,Asian Alone,20+,586,205.39230754826238,TRUE,Rogers Park,0.5227475468331847
1,Rogers Park,Asian Alone,Alternatives,0,67.94115100585212,TRUE,Rogers Park,0
1,Rogers Park,Black or African American Alone,"1, detached",147,94.63086177352504,TRUE,Rogers Park,0.024739145069000337
1,Rogers Park,Black or African American Alone,"1, attached",84,71.96526940128828,TRUE,Rogers Park,0.01413665432514305
1,Rogers Park,Black or African American Alone,2,130,135.37725067381152,TRUE,Rogers Park,0.021878155503197577
1,Rogers Park,Black or African American Alone,3 or 4,568,256.4663720646432,TRUE,Rogers Park,0.09559071019858634
1,Rogers Park,Black or African American Alone,5 to 9,1663,394.4160240152522,TRUE,Rogers Park,0.2798720969370582
1,Rogers Park,Black or African American Alone,10 to 19,675,234.49307026008253,TRUE,Rogers Park,0.11359811511275665
1,Rogers Park,Black or African American Alone,20+,2675,460.35312532880675,FALSE,Rogers Park,0.4501851228542578
1,Rogers Park,Black or African American Alone,Alternatives,0,67.94115100585212,TRUE,Rogers Park,0
1,Rogers Park,Hispanic or Latino,"1, detached",153,101.64152694642088,TRUE,Rogers Park,0.040020925974365684
1,Rogers Park,Hispanic or Latino,"1, attached",65,82.46211251235322,TRUE,Rogers Park,0.017002354172116138
1,Rogers Park,Hispanic or Latino,2,94,87.52713864853574,TRUE,Rogers Park,0.024588019879675647
1,Rogers Park,Hispanic or Latino,3 or 4,648,208.11535262925705,TRUE,Rogers Park,0.16950039236201936
1,Rogers Park,Hispanic or Latino,5 to 9,1232,325.4166559965854,TRUE,Rogers Park,0.3222600052314936
1,Rogers Park,Hispanic or Latino,10 to 19,518,187.3339264522046,TRUE,Rogers Park,0.13549568401778708
1,Rogers Park,Hispanic or Latino,20+,1096,388.817437880556,TRUE,Rogers Park,0.2866858488098352
1,Rogers Park,Hispanic or Latino,Alternatives,17,72.49827584156743,TRUE,Rogers Park,0.004446769552707298
1,Rogers Park,Native Hawaiian and Other Pacific Islander Alone,"1, detached",0,48.041648597857254,TRUE,Rogers Park,NA
1,Rogers Park,Native Hawaiian and Other Pacific Islander Alone,"1, attached",0,48.041648597857254,TRUE,Rogers Park,NA
1,Rogers Park,Native Hawaiian and Other Pacific Islander Alone,2,0,48.041648597857254,TRUE,Rogers Park,NA
1,Rogers Park,Native Hawaiian and Other Pacific Islander Alone,3 or 4,0,48.041648597857254,TRUE,Rogers Park,NA
1,Rogers Park,Native Hawaiian and Other Pacific Islander Alone,5 to 9,0,48.041648597857254,TRUE,Rogers Park,NA
1,Rogers Park,Native Hawaiian and Other Pacific Islander Alone,10 to 19,0,48.041648597857254,TRUE,Rogers Park,NA
1,Rogers Park,Native Hawaiian and Other Pacific Islander Alone,20+,0,67.94115100585212,TRUE,Rogers Park,NA
1,Rogers Park,Native Hawaiian and Other Pacific Islander Alone,Alternatives,0,67.94115100585212,TRUE,Rogers Park,NA
1,Rogers Park,Some Other Race Alone,"1, detached",43,67.60917097554147,TRUE,Rogers Park,0.023420479302832243
1,Rogers Park,Some Other Race Alone,"1, attached",0,48.041648597857254,TRUE,Rogers Park,0
1,Rogers Park,Some Other Race Alone,2,94,87.52713864853574,TRUE,Rogers Park,0.05119825708061002
1,Rogers Park,Some Other Race Alone,3 or 4,363,164.4597215125941,TRUE,Rogers Park,0.1977124183006536
1,Rogers Park,Some Other Race Alone,5 to 9,370,200.3996007980056,TRUE,Rogers Park,0.20152505446623092
1,Rogers Park,Some Other Race Alone,10 to 19,343,169.74687036879354,TRUE,Rogers Park,0.18681917211328977
