GEOID,NAME,variable,estimate,moe,High_Error
0103076,"Auburn city, Alabama",B25024_001,33932,620,FALSE
0107000,"Birmingham city, Alabama",B25024_001,107009,1293,FALSE
0120104,"Decatur city, Alabama",B25024_001,25680,508,FALSE
0121184,"Dothan city, Alabama",B25024_001,33325,319,FALSE
0135896,"Hoover city, Alabama",B25024_001,38642,868,FALSE
0137000,"Huntsville city, Alabama",B25024_001,100345,1126,FALSE
0145784,"Madison city, Alabama",B25024_001,22752,692,FALSE
0150000,"Mobile city, Alabama",B25024_001,90922,906,FALSE
0151000,"Montgomery city, Alabama",B25024_001,93743,466,FALSE
0177256,"Tuscaloosa city, Alabama",B25024_001,50999,763,FALSE
0203000,"Anchorage municipality, Alaska",B25024_001,118938,166,FALSE
0404720,"Avondale city, Arizona",B25024_001,30217,805,FALSE
0407940,"Buckeye city, Arizona",B25024_001,30886,1013,FALSE
0410530,"Casa Grande city, Arizona",B25024_001,23360,755,FALSE
0410670,"Casas Adobes CDP, Arizona",B25024_001,32326,808,FALSE
0411230,"Catalina Foothills CDP, Arizona",B25024_001,27495,937,FALSE
0412000,"Chandler city, Arizona",B25024_001,110002,1239,FALSE
0423620,"Flagstaff city, Arizona",B25024_001,31047,581,FALSE
0427400,"Gilbert town, Arizona",B25024_001,93761,1316,FALSE
0427820,"Glendale city, Arizona",B25024_001,90711,1233,FALSE
0428380,"Goodyear city, Arizona",B25024_001,36560,857,FALSE
0439370,"Lake Havasu City city, Arizona",B25024_001,34352,720,FALSE
0444270,"Marana town, Arizona",B25024_001,21518,612,FALSE
0444410,"Maricopa city, Arizona",B25024_001,21209,711,FALSE
0446000,"Mesa city, Arizona",B25024_001,219909,1709,FALSE
0454050,"Peoria city, Arizona",B25024_001,77176,1192,FALSE
0455000,"Phoenix city, Arizona",B25024_001,633863,2804,FALSE
0458150,"Queen Creek town, Arizona",B25024_001,19938,517,FALSE
0464210,"San Tan Valley CDP, Arizona",B25024_001,35342,1088,FALSE
0465000,"Scottsdale city, Arizona",B25024_001,136665,1462,FALSE
0471510,"Surprise city, Arizona",B25024_001,58826,909,FALSE
0473000,"Tempe city, Arizona",B25024_001,82696,1437,FALSE
0477000,"Tucson city, Arizona",B25024_001,243749,1509,FALSE
0485540,"Yuma city, Arizona",B25024_001,42718,592,FALSE
0505320,"Bentonville city, Arkansas",B25024_001,22861,690,FALSE
0515190,"Conway city, Arkansas",B25024_001,27793,453,FALSE
0523290,"Fayetteville city, Arkansas",B25024_001,43191,811,FALSE
0524550,"Fort Smith city, Arkansas",B25024_001,39945,534,FALSE
0535710,"Jonesboro city, Arkansas",B25024_001,33565,475,FALSE
0541000,"Little Rock city, Arkansas",B25024_001,99244,1225,FALSE
0550450,"North Little Rock city, Arkansas",B25024_001,33020,909,FALSE
0560410,"Rogers city, Arkansas",B25024_001,26600,701,FALSE
0566080,"Springdale city, Arkansas",B25024_001,30865,830,FALSE
0600562,"Alameda city, California",B25024_001,32037,692,FALSE
0600884,"Alhambra city, California",B25024_001,32054,679,FALSE
0600947,"Aliso Viejo city, California",B25024_001,20411,568,FALSE
0602000,"Anaheim city, California",B25024_001,109685,1342,FALSE
0602252,"Antioch city, California",B25024_001,37408,913,FALSE
0602364,"Apple Valley town, California",B25024_001,26005,628,FALSE
0602462,"Arcadia city, California",B25024_001,21162,520,FALSE
0602553,"Arden-Arcade CDP, California",B25024_001,40713,1092,FALSE
0603526,"Bakersfield city, California",B25024_001,131310,1355,FALSE
0603666,"Baldwin Park city, California",B25024_001,18453,404,FALSE
0604758,"Beaumont city, California",B25024_001,16818,564,FALSE
0604982,"Bellflower city, California",B25024_001,25070,569,FALSE
0606000,"Berkeley city, California",B25024_001,50854,1031,FALSE
