GEOID,City,State,Race,Units_per_Structure,Population,PopRank,Units,moe,High_Error,Percent,State_Abb,Geography
0103076,Auburn,Alabama,All,"1, detached",76660,503,15800,762,FALSE,0.4656371566662737,AL,"Auburn, AL"
0103076,Auburn,Alabama,All,"1, attached",76660,503,2504,381,FALSE,0.07379464811976895,AL,"Auburn, AL"
0103076,Auburn,Alabama,All,2,76660,503,1844,506,TRUE,0.05434398208181068,AL,"Auburn, AL"
0103076,Auburn,Alabama,All,3 or 4,76660,503,1576,386,TRUE,0.0464458328421549,AL,"Auburn, AL"
0103076,Auburn,Alabama,All,5 to 9,76660,503,2945,589,FALSE,0.08679122951785925,AL,"Auburn, AL"
0103076,Auburn,Alabama,All,10 to 19,76660,503,3723,634,FALSE,0.10971943887775551,AL,"Auburn, AL"
0103076,Auburn,Alabama,All,20+,76660,503,4200,596.2759428318402,FALSE,0.12377696569609808,AL,"Auburn, AL"
0103076,Auburn,Alabama,All,Alternatives,76660,503,1340,232.12281232140884,FALSE,0.03949074619827891,AL,"Auburn, AL"
0107000,Birmingham,Alabama,All,"1, detached",200431,124,62368,1229,FALSE,0.582829481632386,AL,"Birmingham, AL"
0107000,Birmingham,Alabama,All,"1, attached",200431,124,1991,274,FALSE,0.01860591165229093,AL,"Birmingham, AL"
0107000,Birmingham,Alabama,All,2,200431,124,1811,364,TRUE,0.016923810146810082,AL,"Birmingham, AL"
0107000,Birmingham,Alabama,All,3 or 4,200431,124,5609,640,FALSE,0.05241615191245596,AL,"Birmingham, AL"
0107000,Birmingham,Alabama,All,5 to 9,200431,124,9786,830,FALSE,0.09145025184797541,AL,"Birmingham, AL"
0107000,Birmingham,Alabama,All,10 to 19,200431,124,9625,696,FALSE,0.08994570550140642,AL,"Birmingham, AL"
0107000,Birmingham,Alabama,All,20+,200431,124,14878,1048.6581902602964,FALSE,0.13903503443635581,AL,"Birmingham, AL"
0107000,Birmingham,Alabama,All,Alternatives,200431,124,941,235.32530675641326,TRUE,0.008793652870319319,AL,"Birmingham, AL"
