GEOID,NAME,variable,estimate,moe,High_Error
0100100,"Abanda CDP, Alabama",B01001_001,335,239,TRUE
0100124,"Abbeville city, Alabama",B01001_001,2309,306,FALSE
0100460,"Adamsville city, Alabama",B01001_001,4325,37,FALSE
0100484,"Addison town, Alabama",B01001_001,665,169,FALSE
0100676,"Akron town, Alabama",B01001_001,310,174,TRUE
0100820,"Alabaster city, Alabama",B01001_001,33417,123,FALSE
0100988,"Albertville city, Alabama",B01001_001,22433,36,FALSE
0101132,"Alexander City city, Alabama",B01001_001,14788,29,FALSE
0101180,"Alexandria CDP, Alabama",B01001_001,3748,694,FALSE
0101228,"Aliceville city, Alabama",B01001_001,2325,438,FALSE
0101396,"Allgood town, Alabama",B01001_001,953,339,TRUE
0101660,"Altoona town, Alabama",B01001_001,1358,440,FALSE
0101708,"Andalusia city, Alabama",B01001_001,8841,28,FALSE
0101756,"Anderson town, Alabama",B01001_001,241,91,TRUE
0101852,"Anniston city, Alabama",B01001_001,21502,34,FALSE
0102116,"Arab city, Alabama",B01001_001,8552,151,FALSE
0102260,"Ardmore town, Alabama",B01001_001,1304,291,FALSE
0102320,"Argo town, Alabama",B01001_001,4416,180,FALSE
0102428,"Ariton town, Alabama",B01001_001,795,226,FALSE
0102500,"Arley town, Alabama",B01001_001,569,242,TRUE
0102836,"Ashford town, Alabama",B01001_001,2476,238,FALSE
0102860,"Ashland town, Alabama",B01001_001,1674,370,FALSE
0102908,"Ashville city, Alabama",B01001_001,2438,772,FALSE
0102956,"Athens city, Alabama",B01001_001,26179,39,FALSE
0103004,"Atmore city, Alabama",B01001_001,8465,21,FALSE
0103028,"Attalla city, Alabama",B01001_001,5849,16,FALSE
0103076,"Auburn city, Alabama",B01001_001,76660,44,FALSE
0103220,"Autaugaville town, Alabama",B01001_001,1047,331,FALSE
0103364,"Avon town, Alabama",B01001_001,450,93,FALSE
0103508,"Axis CDP, Alabama",B01001_001,269,162,TRUE
